SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND
2000160N21267,2000,NA,GM,NOT_NAMED,7/06/2000 18:00,21,-93, ,TD,25
2000160N21267,2000,NA,GM,NOT_NAMED,7/06/2000 21:00,20.9675,-92.8524, ,TD,25
2000160N21267,2000,NA,GM,NOT_NAMED,8/06/2000 0:00,20.9,-92.8, ,TD,25
2000160N21267,2000,NA,GM,NOT_NAMED,8/06/2000 3:00,20.785,-92.9051, ,TD,25
2000160N21267,2000,NA,GM,NOT_NAMED,8/06/2000 6:00,20.7,-93.1, ,TD,25
2000160N21267,2000,NA,GM,NOT_NAMED,8/06/2000 9:00,20.7175,-93.3024, ,TD,25
2000160N21267,2000,NA,GM,NOT_NAMED,8/06/2000 12:00,20.8,-93.5, ,TD,25
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 0:00,9.5,-19.8, ,TD,25
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 3:00,9.53014,-20.3675, ,TD,27
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 6:00,9.6,-21, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 9:00,9.73484,-21.7475, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 12:00,9.9,-22.6, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 15:00,10.08,-23.5423, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 18:00,10.2,-24.5, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,23/06/2000 21:00,10.1872,-25.3726, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 0:00,10.1,-26.2, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 3:00,9.99231,-27.0151, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 6:00,9.9,-27.8, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 9:00,9.87007,-28.6099, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 12:00,9.9,-29.3, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 15:00,9.99892,-29.625, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 18:00,10.1,-30.1, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,24/06/2000 21:00,10.1238,-31.2901, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,25/06/2000 0:00,10.1,-32.6, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,25/06/2000 3:00,10.064,-33.4374, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,25/06/2000 6:00,10,-34.2, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,25/06/2000 9:00,9.89995,-35.1701, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,25/06/2000 12:00,9.8,-36.2, ,TD,30
2000175N09340,2000,NA,NA,NOT_NAMED,25/06/2000 15:00,9.73794,-37.2099, ,TD,27
