NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
FRED,2021-08-09 18:00:00,13.9,-58.7,30
FRED,2021-08-09 21:00:00,14.2504,-59.3896,30
FRED,2021-08-10 00:00:00,14.6,-60.1,30
FRED,2021-08-10 03:00:00,14.9498,-60.8427,30
FRED,2021-08-10 06:00:00,15.3,-61.6,30
FRED,2021-08-10 09:00:00,15.6497,-62.3503,30
FRED,2021-08-10 12:00:00,16.0,-63.1,30
FRED,2021-08-10 15:00:00,16.3572,-63.8502,30
FRED,2021-08-10 18:00:00,16.7,-64.6,30
FRED,2021-08-10 21:00:00,17.0222,-65.3501,32
FRED,2021-08-11 00:00:00,17.3,-66.1,35
FRED,2021-08-11 03:00:00,17.5223,-66.8577,35
FRED,2021-08-11 06:00:00,17.7,-67.6,35
FRED,2021-08-11 09:00:00,17.8422,-68.3142,37
FRED,2021-08-11 12:00:00,18.0,-69.0,40
FRED,2021-08-11 15:00:00,18.2189,-69.6065,40
FRED,2021-08-11 18:00:00,18.5,-70.4,35
FRED,2021-08-11 21:00:00,18.8301,-71.1238,32
FRED,2021-08-12 00:00:00,19.2,-71.7,30
FRED,2021-08-12 03:00:00,19.6149,-72.3224,30
FRED,2021-08-12 06:00:00,20.0,-72.9,30
FRED,2021-08-12 09:00:00,20.2798,-73.4303,30
FRED,2021-08-12 12:00:00,20.5,-73.9,30
FRED,2021-08-12 15:00:00,20.7148,-74.3152,30
FRED,2021-08-12 18:00:00,20.9,-74.7,30
FRED,2021-08-12 21:00:00,21.0497,-75.0778,32
FRED,2021-08-13 00:00:00,21.2,-75.5,35
FRED,2021-08-13 03:00:00,21.3925,-76.0275,35
FRED,2021-08-13 06:00:00,21.6,-76.6,35
FRED,2021-08-13 09:00:00,21.8072,-77.1351,32
FRED,2021-08-13 12:00:00,22.0,-77.7,30
FRED,2021-08-13 15:00:00,22.165,-78.3426,30
FRED,2021-08-13 18:00:00,22.3,-79.0,30
FRED,2021-08-13 21:00:00,22.4073,-79.6152,30
FRED,2021-08-14 00:00:00,22.5,-80.2,30
FRED,2021-08-14 03:00:00,22.5997,-80.7501,30
FRED,2021-08-14 06:00:00,22.7,-81.3,30
FRED,2021-08-14 09:00:00,22.785,-81.9077,30
FRED,2021-08-14 12:00:00,22.9,-82.5,30
FRED,2021-08-14 15:00:00,23.0549,-83.0451,30
FRED,2021-08-14 18:00:00,23.3,-83.5,30
FRED,2021-08-14 21:00:00,23.6623,-83.8525,32
FRED,2021-08-15 00:00:00,24.1,-84.1,35
FRED,2021-08-15 03:00:00,24.5574,-84.2727,35
FRED,2021-08-15 06:00:00,25.0,-84.4,35
FRED,2021-08-15 09:00:00,25.3649,-84.5353,35
FRED,2021-08-15 12:00:00,25.7,-84.7,35
FRED,2021-08-15 15:00:00,26.0575,-84.9275,37
FRED,2021-08-15 18:00:00,26.4,-85.2,40
FRED,2021-08-15 21:00:00,26.6926,-85.5299,45
FRED,2021-08-16 00:00:00,27.0,-85.8,50
FRED,2021-08-16 03:00:00,27.3774,-85.9101,50
FRED,2021-08-16 06:00:00,27.8,-85.9,50
FRED,2021-08-16 09:00:00,28.25,-85.8301,50
FRED,2021-08-16 12:00:00,28.7,-85.7,50
FRED,2021-08-16 15:00:00,29.0521,-85.5156,52
FRED,2021-08-16 18:00:00,29.5,-85.4,55
FRED,2021-08-16 21:00:00,30.0734,-85.4,51
FRED,2021-08-17 00:00:00,30.6,-85.4,45
FRED,2021-08-17 03:00:00,31.1483,-85.4144,40
FRED,2021-08-17 06:00:00,31.7,-85.4,35
FRED,2021-08-17 09:00:00,32.2424,-85.3372,30
FRED,2021-08-17 12:00:00,32.8,-85.2,25
FRED,2021-08-17 15:00:00,33.3397,-85.0158,25
FRED,2021-08-17 18:00:00,34.0,-84.7,25
FRED,2021-08-17 21:00:00,34.9051,-84.2104,25
FRED,2021-08-18 00:00:00,35.9,-83.6,25
FRED,2021-08-18 03:00:00,36.83,-82.9572,22
FRED,2021-08-18 06:00:00,37.7,-82.3,20
FRED,2021-08-18 09:00:00,38.4943,-81.7057,20
FRED,2021-08-18 12:00:00,39.2,-81.1,20
FRED,2021-08-18 15:00:00,39.8522,-80.4219,20
FRED,2021-08-18 18:00:00,40.4,-79.7,20
FRED,2021-08-18 21:00:00,40.8371,-78.956,20
FRED,2021-08-19 00:00:00,41.2,-78.2,20
FRED,2021-08-19 03:00:00,41.5719,-77.4569,20
FRED,2021-08-19 06:00:00,41.9,-76.7,20
FRED,2021-08-19 09:00:00,42.1796,-75.907,20
FRED,2021-08-19 12:00:00,42.4,-75.1,20
FRED,2021-08-19 15:00:00,42.5874,-74.2775,22
FRED,2021-08-19 18:00:00,42.7,-73.5,25
FRED,2021-08-19 21:00:00,42.7293,-72.8194,25
FRED,2021-08-20 00:00:00,42.7,-72.2,25
FRED,2021-08-20 03:00:00,42.6532,-71.5975,25
FRED,2021-08-20 06:00:00,42.6,-71.0,25
