NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
HENRI,2021-08-15 00:00:00,35.8,-63.4,25
HENRI,2021-08-15 03:00:00,35.6175,-63.255,25
HENRI,2021-08-15 06:00:00,35.4,-63.1,25
HENRI,2021-08-15 09:00:00,35.1225,-62.9349,25
HENRI,2021-08-15 12:00:00,34.8,-62.8,25
HENRI,2021-08-15 15:00:00,34.4575,-62.7276,25
HENRI,2021-08-15 18:00:00,34.1,-62.7,25
HENRI,2021-08-15 21:00:00,33.765,-62.6926,27
HENRI,2021-08-16 00:00:00,33.4,-62.7,30
HENRI,2021-08-16 03:00:00,32.965,-62.7,30
HENRI,2021-08-16 06:00:00,32.5,-62.7,30
HENRI,2021-08-16 09:00:00,32.02,-62.6849,30
HENRI,2021-08-16 12:00:00,31.6,-62.7,30
HENRI,2021-08-16 15:00:00,31.305,-62.7851,32
HENRI,2021-08-16 18:00:00,31.1,-62.9,35
HENRI,2021-08-16 21:00:00,30.9275,-62.9999,37
HENRI,2021-08-17 00:00:00,30.8,-63.1,40
HENRI,2021-08-17 03:00:00,30.6925,-63.1924,42
HENRI,2021-08-17 06:00:00,30.6,-63.3,45
HENRI,2021-08-17 09:00:00,30.4925,-63.4425,45
HENRI,2021-08-17 12:00:00,30.4,-63.6,45
HENRI,2021-08-17 15:00:00,30.3424,-63.7274,50
HENRI,2021-08-17 18:00:00,30.3,-63.9,55
HENRI,2021-08-17 21:00:00,30.2499,-64.1625,55
HENRI,2021-08-18 00:00:00,30.2,-64.5,55
HENRI,2021-08-18 03:00:00,30.1499,-64.8775,55
HENRI,2021-08-18 06:00:00,30.1,-65.3,55
HENRI,2021-08-18 09:00:00,30.0499,-65.7425,55
HENRI,2021-08-18 12:00:00,30.0,-66.2,55
HENRI,2021-08-18 15:00:00,29.9573,-66.6498,57
HENRI,2021-08-18 18:00:00,29.9,-67.1,60
HENRI,2021-08-18 21:00:00,29.8073,-67.5425,60
HENRI,2021-08-19 00:00:00,29.7,-68.0,60
HENRI,2021-08-19 03:00:00,29.5849,-68.4926,60
HENRI,2021-08-19 06:00:00,29.5,-69.0,60
HENRI,2021-08-19 09:00:00,29.4773,-69.4999,60
HENRI,2021-08-19 12:00:00,29.5,-70.0,60
HENRI,2021-08-19 15:00:00,29.5423,-70.4999,57
HENRI,2021-08-19 18:00:00,29.6,-71.0,55
HENRI,2021-08-19 21:00:00,29.6424,-71.5076,55
HENRI,2021-08-20 00:00:00,29.7,-72.0,55
HENRI,2021-08-20 03:00:00,29.7924,-72.4725,55
HENRI,2021-08-20 06:00:00,29.9,-72.9,55
HENRI,2021-08-20 09:00:00,29.9625,-73.3027,55
HENRI,2021-08-20 12:00:00,30.1,-73.6,55
HENRI,2021-08-20 15:00:00,30.4049,-73.7599,57
HENRI,2021-08-20 18:00:00,30.8,-73.8,60
HENRI,2021-08-20 21:00:00,31.185,-73.7875,60
HENRI,2021-08-21 00:00:00,31.6,-73.7,60
HENRI,2021-08-21 03:00:00,32.0274,-73.5945,60
HENRI,2021-08-21 06:00:00,32.5,-73.4,60
HENRI,2021-08-21 09:00:00,32.9825,-73.0941,62
HENRI,2021-08-21 12:00:00,33.6,-72.7,65
HENRI,2021-08-21 15:00:00,34.4176,-72.2646,65
HENRI,2021-08-21 18:00:00,35.4,-71.8,65
HENRI,2021-08-21 21:00:00,36.5003,-71.2777,65
HENRI,2021-08-22 00:00:00,37.6,-70.9,65
HENRI,2021-08-22 03:00:00,38.5671,-70.8574,65
HENRI,2021-08-22 06:00:00,39.4,-71.0,65
HENRI,2021-08-22 09:00:00,40.1238,-71.1127,60
HENRI,2021-08-22 12:00:00,40.7,-71.3,55
HENRI,2021-08-22 15:00:00,41.1601,-71.5416,55
HENRI,2021-08-22 18:00:00,41.5,-72.0,40
HENRI,2021-08-22 21:00:00,41.7216,-72.4366,35
HENRI,2021-08-23 00:00:00,41.8,-73.0,30
HENRI,2021-08-23 03:00:00,41.7814,-73.7911,27
HENRI,2021-08-23 06:00:00,41.7,-74.4,25
HENRI,2021-08-23 09:00:00,41.6493,-74.4348,25
HENRI,2021-08-23 12:00:00,41.6,-74.2,25
HENRI,2021-08-23 15:00:00,41.5496,-74.0676,25
HENRI,2021-08-23 18:00:00,41.5,-73.8,25
HENRI,2021-08-23 21:00:00,41.4048,-73.331,22
HENRI,2021-08-24 00:00:00,41.4,-72.7,20
HENRI,2021-08-24 03:00:00,41.6199,-71.989,20
HENRI,2021-08-24 06:00:00,41.9,-71.2,20
HENRI,2021-08-24 09:00:00,42.0783,-70.4595,20
HENRI,2021-08-24 12:00:00,42.2,-69.6,20
HENRI,2021-08-24 15:00:00,42.2685,-68.5177,22
HENRI,2021-08-24 18:00:00,42.3,-67.3,25
