NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
IDA,2021-08-26 12:00:00,16.5,-78.9,30
IDA,2021-08-26 15:00:00,16.9551,-79.1897,32
IDA,2021-08-26 18:00:00,17.4,-79.5,35
IDA,2021-08-26 21:00:00,17.835,-79.8427,37
IDA,2021-08-27 00:00:00,18.3,-80.2,40
IDA,2021-08-27 03:00:00,18.8424,-80.5427,42
IDA,2021-08-27 06:00:00,19.4,-80.9,45
IDA,2021-08-27 09:00:00,19.8999,-81.2854,50
IDA,2021-08-27 12:00:00,20.4,-81.7,55
IDA,2021-08-27 15:00:00,20.9508,-82.1611,62
IDA,2021-08-27 18:00:00,21.5,-82.6,70
IDA,2021-08-27 21:00:00,21.857,-82.6144,70
IDA,2021-08-28 00:00:00,22.6,-83.5,70
IDA,2021-08-28 03:00:00,23.2157,-84.3868,70
IDA,2021-08-28 06:00:00,23.5,-84.7,70
IDA,2021-08-28 09:00:00,23.9273,-85.2232,70
IDA,2021-08-28 12:00:00,24.4,-85.7,70
IDA,2021-08-28 15:00:00,24.9847,-86.1503,75
IDA,2021-08-28 18:00:00,25.6,-86.6,80
IDA,2021-08-28 21:00:00,26.1723,-87.0853,85
IDA,2021-08-29 00:00:00,26.7,-87.6,90
IDA,2021-08-29 03:00:00,27.165,-88.1579,102
IDA,2021-08-29 06:00:00,27.6,-88.7,115
IDA,2021-08-29 09:00:00,28.0637,-89.1787,122
IDA,2021-08-29 12:00:00,28.5,-89.6,130
IDA,2021-08-29 15:00:00,28.8922,-89.9294,130
IDA,2021-08-29 18:00:00,29.2,-90.4,125
IDA,2021-08-29 21:00:00,29.5303,-90.6215,115
IDA,2021-08-30 00:00:00,29.9,-90.6,105
IDA,2021-08-30 03:00:00,30.235,-90.7075,85
IDA,2021-08-30 06:00:00,30.6,-90.8,65
IDA,2021-08-30 09:00:00,31.05,-90.8946,52
IDA,2021-08-30 12:00:00,31.5,-90.9,40
IDA,2021-08-30 15:00:00,31.8575,-90.7451,37
IDA,2021-08-30 18:00:00,32.2,-90.5,35
IDA,2021-08-30 21:00:00,32.5924,-90.2648,32
IDA,2021-08-31 00:00:00,33.0,-90.0,30
IDA,2021-08-31 03:00:00,33.4147,-89.7371,27
IDA,2021-08-31 06:00:00,33.8,-89.4,25
IDA,2021-08-31 09:00:00,34.1073,-88.9519,25
IDA,2021-08-31 12:00:00,34.4,-88.4,25
IDA,2021-08-31 15:00:00,34.7421,-87.7946,22
IDA,2021-08-31 18:00:00,35.1,-87.1,20
IDA,2021-08-31 21:00:00,35.4344,-86.3437,20
IDA,2021-09-01 00:00:00,35.8,-85.5,20
IDA,2021-09-01 03:00:00,36.2269,-84.5866,20
IDA,2021-09-01 06:00:00,36.7,-83.6,20
IDA,2021-09-01 09:00:00,37.1675,-82.6289,22
IDA,2021-09-01 12:00:00,37.7,-81.5,25
IDA,2021-09-01 15:00:00,38.3657,-80.0626,27
IDA,2021-09-01 18:00:00,39.0,-78.5,30
IDA,2021-09-01 21:00:00,39.4356,-77.0311,32
IDA,2021-09-02 00:00:00,39.8,-75.6,35
IDA,2021-09-02 03:00:00,40.1972,-74.2128,37
IDA,2021-09-02 06:00:00,40.6,-72.8,40
IDA,2021-09-02 09:00:00,40.9181,-71.2217,40
IDA,2021-09-02 12:00:00,41.4,-69.7,40
IDA,2021-09-02 15:00:00,42.2497,-68.404,40
IDA,2021-09-02 18:00:00,43.3,-67.2,40
IDA,2021-09-02 21:00:00,44.4037,-65.8501,40
IDA,2021-09-03 00:00:00,45.4,-64.7,40
IDA,2021-09-03 03:00:00,46.0875,-64.0229,42
IDA,2021-09-03 06:00:00,46.6,-63.6,45
IDA,2021-09-03 09:00:00,47.0575,-63.0892,45
IDA,2021-09-03 12:00:00,47.5,-62.7,45
IDA,2021-09-03 15:00:00,48.1021,-62.4301,45
IDA,2021-09-03 18:00:00,48.6,-62.4,45
IDA,2021-09-03 21:00:00,48.7901,-62.6666,45
IDA,2021-09-04 00:00:00,48.8,-63.1,45
IDA,2021-09-04 03:00:00,48.8478,-63.5526,42
IDA,2021-09-04 06:00:00,48.7,-63.9,40
IDA,2021-09-04 09:00:00,48.2172,-63.9902,37
IDA,2021-09-04 12:00:00,47.6,-63.9,35
IDA,2021-09-04 15:00:00,47.0652,-63.7193,32
IDA,2021-09-04 18:00:00,46.6,-63.5,30
