NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
JULIAN,2021-08-28 12:00:00,32.1,-51.7,25
JULIAN,2021-08-28 15:00:00,32.1325,-51.3726,27
JULIAN,2021-08-28 18:00:00,32.2,-51.0,30
JULIAN,2021-08-28 21:00:00,32.3401,-50.5572,30
JULIAN,2021-08-29 00:00:00,32.6,-50.1,30
JULIAN,2021-08-29 03:00:00,33.0042,-49.744,32
JULIAN,2021-08-29 06:00:00,33.5,-49.3,35
JULIAN,2021-08-29 09:00:00,33.9619,-48.6457,40
JULIAN,2021-08-29 12:00:00,34.5,-47.8,45
JULIAN,2021-08-29 15:00:00,35.1829,-46.8688,47
JULIAN,2021-08-29 18:00:00,35.9,-45.7,50
JULIAN,2021-08-29 21:00:00,36.472,-44.1844,50
JULIAN,2021-08-30 00:00:00,37.1,-42.6,50
JULIAN,2021-08-30 03:00:00,37.9609,-41.225,50
JULIAN,2021-08-30 06:00:00,38.9,-40.0,50
JULIAN,2021-08-30 09:00:00,39.7408,-38.8932,50
JULIAN,2021-08-30 12:00:00,40.6,-37.9,50
JULIAN,2021-08-30 15:00:00,41.5053,-36.8599,47
JULIAN,2021-08-30 18:00:00,42.5,-36.0,45
JULIAN,2021-08-30 21:00:00,43.5888,-35.4487,45
JULIAN,2021-08-31 00:00:00,44.8,-35.1,45
JULIAN,2021-08-31 03:00:00,46.0973,-34.6646,45
JULIAN,2021-08-31 06:00:00,47.5,-34.5,45
JULIAN,2021-08-31 09:00:00,48.9811,-34.8326,45
JULIAN,2021-08-31 12:00:00,50.5,-35.5,45
