NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
KATE,2021-08-27 12:00:00,13.1,-47.3,25
KATE,2021-08-27 15:00:00,13.2001,-47.83,25
KATE,2021-08-27 18:00:00,13.3,-48.4,25
KATE,2021-08-27 21:00:00,13.4002,-49.01,25
KATE,2021-08-28 00:00:00,13.5,-49.5,25
KATE,2021-08-28 03:00:00,13.5548,-49.7176,27
KATE,2021-08-28 06:00:00,13.7,-49.8,30
KATE,2021-08-28 09:00:00,14.0625,-49.9224,30
KATE,2021-08-28 12:00:00,14.5,-50.0,30
KATE,2021-08-28 15:00:00,14.835,-50.0225,30
KATE,2021-08-28 18:00:00,15.2,-50.0,30
KATE,2021-08-28 21:00:00,15.67,-49.9426,30
KATE,2021-08-29 00:00:00,16.2,-49.9,30
KATE,2021-08-29 03:00:00,16.7425,-49.9275,30
KATE,2021-08-29 06:00:00,17.3,-50.0,30
KATE,2021-08-29 09:00:00,17.8725,-50.0999,30
KATE,2021-08-29 12:00:00,18.4,-50.2,30
KATE,2021-08-29 15:00:00,18.8375,-50.2501,30
KATE,2021-08-29 18:00:00,19.2,-50.3,30
KATE,2021-08-29 21:00:00,19.5075,-50.4,30
KATE,2021-08-30 00:00:00,19.8,-50.5,30
KATE,2021-08-30 03:00:00,20.135,-50.5501,32
KATE,2021-08-30 06:00:00,20.5,-50.6,35
KATE,2021-08-30 09:00:00,20.8925,-50.6999,37
KATE,2021-08-30 12:00:00,21.3,-50.8,40
KATE,2021-08-30 15:00:00,21.7225,-50.865,37
KATE,2021-08-30 18:00:00,22.1,-50.9,35
KATE,2021-08-30 21:00:00,22.395,-50.9076,35
KATE,2021-08-31 00:00:00,22.6,-50.9,35
KATE,2021-08-31 03:00:00,22.7075,-50.9,35
KATE,2021-08-31 06:00:00,22.8,-50.9,35
KATE,2021-08-31 09:00:00,22.9625,-50.9,32
KATE,2021-08-31 12:00:00,23.2,-50.9,30
KATE,2021-08-31 15:00:00,23.5275,-50.8777,30
KATE,2021-08-31 18:00:00,23.9,-50.9,30
KATE,2021-08-31 21:00:00,24.25,-51.0274,30
KATE,2021-09-01 00:00:00,24.6,-51.2,30
KATE,2021-09-01 03:00:00,24.9048,-51.3133,30
KATE,2021-09-01 06:00:00,25.3,-51.5,30
KATE,2021-09-01 09:00:00,25.8904,-51.8483,30
KATE,2021-09-01 12:00:00,26.6,-52.3,30
