NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
LARRY,2021-08-31 18:00:00,11.5,-20.6,30
LARRY,2021-08-31 21:00:00,11.7081,-21.5397,32
LARRY,2021-09-01 00:00:00,11.9,-22.5,35
LARRY,2021-09-01 03:00:00,12.0647,-23.4926,37
LARRY,2021-09-01 06:00:00,12.2,-24.5,40
LARRY,2021-09-01 09:00:00,12.3147,-25.5076,42
LARRY,2021-09-01 12:00:00,12.4,-26.5,45
LARRY,2021-09-01 15:00:00,12.4498,-27.4802,50
LARRY,2021-09-01 18:00:00,12.5,-28.4,55
LARRY,2021-09-01 21:00:00,12.5845,-29.2226,57
LARRY,2021-09-02 00:00:00,12.7,-30.0,60
LARRY,2021-09-02 03:00:00,12.8422,-30.7925,62
LARRY,2021-09-02 06:00:00,13.0,-31.6,65
LARRY,2021-09-02 09:00:00,13.1498,-32.4426,67
LARRY,2021-09-02 12:00:00,13.3,-33.3,70
LARRY,2021-09-02 15:00:00,13.4497,-34.1501,70
LARRY,2021-09-02 18:00:00,13.6,-35.0,70
LARRY,2021-09-02 21:00:00,13.7572,-35.85,72
LARRY,2021-09-03 00:00:00,13.9,-36.7,75
LARRY,2021-09-03 03:00:00,13.9998,-37.5577,77
LARRY,2021-09-03 06:00:00,14.1,-38.4,80
LARRY,2021-09-03 09:00:00,14.2423,-39.2225,80
LARRY,2021-09-03 12:00:00,14.4,-40.0,80
LARRY,2021-09-03 15:00:00,14.5347,-40.7227,85
LARRY,2021-09-03 18:00:00,14.7,-41.4,90
LARRY,2021-09-03 21:00:00,14.9273,-42.0576,95
LARRY,2021-09-04 00:00:00,15.2,-42.7,100
LARRY,2021-09-04 03:00:00,15.4923,-43.3501,105
LARRY,2021-09-04 06:00:00,15.8,-44.0,110
LARRY,2021-09-04 09:00:00,16.0999,-44.6577,110
LARRY,2021-09-04 12:00:00,16.4,-45.3,110
LARRY,2021-09-04 15:00:00,16.6924,-45.9227,107
LARRY,2021-09-04 18:00:00,17.0,-46.5,105
LARRY,2021-09-04 21:00:00,17.3423,-47.0152,105
LARRY,2021-09-05 00:00:00,17.7,-47.5,105
LARRY,2021-09-05 03:00:00,18.0424,-48.0077,105
LARRY,2021-09-05 06:00:00,18.4,-48.5,105
LARRY,2021-09-05 09:00:00,18.7923,-48.9577,107
LARRY,2021-09-05 12:00:00,19.2,-49.4,110
LARRY,2021-09-05 15:00:00,19.6074,-49.8502,110
LARRY,2021-09-05 18:00:00,20.0,-50.3,110
LARRY,2021-09-05 21:00:00,20.3724,-50.7576,110
LARRY,2021-09-06 00:00:00,20.7,-51.2,110
LARRY,2021-09-06 03:00:00,20.9724,-51.6152,107
LARRY,2021-09-06 06:00:00,21.2,-52.0,105
LARRY,2021-09-06 09:00:00,21.3998,-52.3503,105
LARRY,2021-09-06 12:00:00,21.6,-52.7,105
LARRY,2021-09-06 15:00:00,21.835,-53.1001,105
LARRY,2021-09-06 18:00:00,22.1,-53.5,105
LARRY,2021-09-06 21:00:00,22.3924,-53.8651,105
LARRY,2021-09-07 00:00:00,22.7,-54.2,105
LARRY,2021-09-07 03:00:00,22.9924,-54.5077,102
LARRY,2021-09-07 06:00:00,23.3,-54.8,100
LARRY,2021-09-07 09:00:00,23.6424,-55.1001,97
LARRY,2021-09-07 12:00:00,24.0,-55.4,95
LARRY,2021-09-07 15:00:00,24.35,-55.7076,95
LARRY,2021-09-07 18:00:00,24.7,-56.0,95
LARRY,2021-09-07 21:00:00,25.0424,-56.2503,95
LARRY,2021-09-08 00:00:00,25.4,-56.5,95
LARRY,2021-09-08 03:00:00,25.7774,-56.7779,95
LARRY,2021-09-08 06:00:00,26.2,-57.1,95
LARRY,2021-09-08 09:00:00,26.6849,-57.4702,92
LARRY,2021-09-08 12:00:00,27.2,-57.9,90
LARRY,2021-09-08 15:00:00,27.7075,-58.3852,90
LARRY,2021-09-08 18:00:00,28.2,-58.9,90
LARRY,2021-09-08 21:00:00,28.6499,-59.408,87
LARRY,2021-09-09 00:00:00,29.1,-59.9,85
LARRY,2021-09-09 03:00:00,29.5774,-60.3729,82
LARRY,2021-09-09 06:00:00,30.1,-60.8,80
LARRY,2021-09-09 09:00:00,30.6623,-61.1731,80
LARRY,2021-09-09 12:00:00,31.3,-61.5,80
LARRY,2021-09-09 15:00:00,32.02,-61.8372,80
LARRY,2021-09-09 18:00:00,32.8,-62.1,80
LARRY,2021-09-09 21:00:00,33.5549,-62.2528,80
LARRY,2021-09-10 00:00:00,34.4,-62.3,80
LARRY,2021-09-10 03:00:00,35.3897,-62.3447,77
LARRY,2021-09-10 06:00:00,36.5,-62.2,75
LARRY,2021-09-10 09:00:00,37.6325,-61.7609,72
LARRY,2021-09-10 12:00:00,38.9,-61.1,70
LARRY,2021-09-10 15:00:00,40.3379,-60.427,70
LARRY,2021-09-10 18:00:00,41.9,-59.5,70
LARRY,2021-09-10 21:00:00,43.4312,-58.1861,70
LARRY,2021-09-11 00:00:00,45.1,-56.6,70
LARRY,2021-09-11 03:00:00,46.9871,-54.8785,70
LARRY,2021-09-11 06:00:00,48.8,-53.3,65
LARRY,2021-09-11 09:00:00,50.7004,-51.5112,62
LARRY,2021-09-11 12:00:00,52.5,-49.7,60
LARRY,2021-09-11 15:00:00,53.996,-48.1647,57
LARRY,2021-09-11 18:00:00,55.3,-46.8,55
