NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
NICHOLAS,2021-09-12 12:00:00,21.0,-95.2,35
NICHOLAS,2021-09-12 15:00:00,21.705,-95.3873,35
NICHOLAS,2021-09-12 18:00:00,22.4,-95.6,35
NICHOLAS,2021-09-12 21:00:00,23.0725,-95.85,37
NICHOLAS,2021-09-13 00:00:00,23.7,-96.1,40
NICHOLAS,2021-09-13 03:00:00,24.265,-96.3226,45
NICHOLAS,2021-09-13 06:00:00,24.8,-96.5,50
NICHOLAS,2021-09-13 09:00:00,25.35,-96.6375,50
NICHOLAS,2021-09-13 12:00:00,25.9,-96.7,50
NICHOLAS,2021-09-13 15:00:00,26.4574,-96.695,52
NICHOLAS,2021-09-13 18:00:00,27.0,-96.6,55
NICHOLAS,2021-09-13 21:00:00,27.5259,-96.4337,60
NICHOLAS,2021-09-14 00:00:00,28.0,-96.2,65
NICHOLAS,2021-09-14 03:00:00,28.3316,-95.8576,65
NICHOLAS,2021-09-14 06:00:00,28.8,-95.7,65
NICHOLAS,2021-09-14 09:00:00,29.1641,-95.6054,57
NICHOLAS,2021-09-14 12:00:00,29.3,-95.4,50
NICHOLAS,2021-09-14 15:00:00,29.465,-95.1649,42
NICHOLAS,2021-09-14 18:00:00,29.6,-94.9,35
NICHOLAS,2021-09-14 21:00:00,29.7499,-94.6574,32
NICHOLAS,2021-09-15 00:00:00,29.9,-94.4,30
NICHOLAS,2021-09-15 03:00:00,30.0649,-94.1151,30
NICHOLAS,2021-09-15 06:00:00,30.2,-93.8,30
NICHOLAS,2021-09-15 09:00:00,30.28,-93.4575,27
NICHOLAS,2021-09-15 12:00:00,30.3,-93.1,25
NICHOLAS,2021-09-15 15:00:00,30.28,-92.7425,25
NICHOLAS,2021-09-15 18:00:00,30.2,-92.4,25
NICHOLAS,2021-09-15 21:00:00,30.0875,-92.0624,25
NICHOLAS,2021-09-16 00:00:00,29.9,-91.8,25
NICHOLAS,2021-09-16 03:00:00,29.5474,-91.6475,22
NICHOLAS,2021-09-16 06:00:00,29.3,-91.6,20
NICHOLAS,2021-09-16 09:00:00,29.4399,-91.5976,20
NICHOLAS,2021-09-16 12:00:00,29.7,-91.7,20
NICHOLAS,2021-09-16 15:00:00,29.8001,-91.9276,20
NICHOLAS,2021-09-16 18:00:00,29.9,-92.2,20
NICHOLAS,2021-09-16 21:00:00,30.0774,-92.4076,17
NICHOLAS,2021-09-17 00:00:00,30.3,-92.6,15
NICHOLAS,2021-09-17 03:00:00,30.5451,-92.7973,15
NICHOLAS,2021-09-17 06:00:00,30.8,-93.0,15
