NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
PETER,2021-09-19 00:00:00,16.4,-52.7,30
PETER,2021-09-19 03:00:00,16.5933,-53.5747,32
PETER,2021-09-19 06:00:00,16.8,-54.4,35
PETER,2021-09-19 09:00:00,17.0347,-55.1377,37
PETER,2021-09-19 12:00:00,17.3,-55.8,40
PETER,2021-09-19 15:00:00,17.5998,-56.43,42
PETER,2021-09-19 18:00:00,17.9,-57.0,45
PETER,2021-09-19 21:00:00,18.1647,-57.5152,45
PETER,2021-09-20 00:00:00,18.4,-58.0,45
PETER,2021-09-20 03:00:00,18.6073,-58.4927,45
PETER,2021-09-20 06:00:00,18.8,-59.0,45
PETER,2021-09-20 09:00:00,19.0074,-59.5425,45
PETER,2021-09-20 12:00:00,19.2,-60.1,45
PETER,2021-09-20 15:00:00,19.3723,-60.65,45
PETER,2021-09-20 18:00:00,19.5,-61.2,45
PETER,2021-09-20 21:00:00,19.5725,-61.7651,45
PETER,2021-09-21 00:00:00,19.6,-62.3,45
PETER,2021-09-21 03:00:00,19.5923,-62.7727,42
PETER,2021-09-21 06:00:00,19.6,-63.2,40
PETER,2021-09-21 09:00:00,19.67,-63.6225,37
PETER,2021-09-21 12:00:00,19.8,-64.0,35
PETER,2021-09-21 15:00:00,19.9849,-64.315,32
PETER,2021-09-21 18:00:00,20.2,-64.6,30
PETER,2021-09-21 21:00:00,20.4,-64.9001,30
PETER,2021-09-22 00:00:00,20.6,-65.2,30
PETER,2021-09-22 03:00:00,20.7999,-65.5001,30
PETER,2021-09-22 06:00:00,21.0,-65.8,30
PETER,2021-09-22 09:00:00,21.2075,-66.1075,30
PETER,2021-09-22 12:00:00,21.4,-66.4,30
PETER,2021-09-22 15:00:00,21.56,-66.66,30
PETER,2021-09-22 18:00:00,21.7,-66.9,30
