NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
ROSE,2021-09-19 00:00:00,10.4,-27.4,30
ROSE,2021-09-19 03:00:00,10.8076,-27.5899,30
ROSE,2021-09-19 06:00:00,11.3,-27.8,30
ROSE,2021-09-19 09:00:00,11.9274,-28.0552,30
ROSE,2021-09-19 12:00:00,12.6,-28.4,30
ROSE,2021-09-19 15:00:00,13.2299,-28.855,32
ROSE,2021-09-19 18:00:00,13.8,-29.4,35
ROSE,2021-09-19 21:00:00,14.2724,-29.9853,35
ROSE,2021-09-20 00:00:00,14.7,-30.6,35
ROSE,2021-09-20 03:00:00,15.1349,-31.2078,35
ROSE,2021-09-20 06:00:00,15.6,-31.8,35
ROSE,2021-09-20 09:00:00,16.1422,-32.3502,35
ROSE,2021-09-20 12:00:00,16.7,-32.9,35
ROSE,2021-09-20 15:00:00,17.1999,-33.4929,37
ROSE,2021-09-20 18:00:00,17.7,-34.1,40
ROSE,2021-09-20 21:00:00,18.2351,-34.7301,45
ROSE,2021-09-21 00:00:00,18.8,-35.3,50
ROSE,2021-09-21 03:00:00,19.3998,-35.7453,45
ROSE,2021-09-21 06:00:00,20.0,-36.1,40
ROSE,2021-09-21 09:00:00,20.5649,-36.4154,37
ROSE,2021-09-21 12:00:00,21.1,-36.7,35
ROSE,2021-09-21 15:00:00,21.6375,-37.0149,35
ROSE,2021-09-21 18:00:00,22.1,-37.3,35
ROSE,2021-09-21 21:00:00,22.4449,-37.5153,35
ROSE,2021-09-22 00:00:00,22.7,-37.7,35
ROSE,2021-09-22 03:00:00,22.9224,-37.8777,32
ROSE,2021-09-22 06:00:00,23.1,-38.1,30
ROSE,2021-09-22 09:00:00,23.2499,-38.4127,30
ROSE,2021-09-22 12:00:00,23.4,-38.8,30
ROSE,2021-09-22 15:00:00,23.5925,-39.235,30
ROSE,2021-09-22 18:00:00,23.8,-39.7,30
ROSE,2021-09-22 21:00:00,23.9699,-40.1579,30
ROSE,2021-09-23 00:00:00,24.2,-40.6,30
ROSE,2021-09-23 03:00:00,24.555,-41.0299,30
ROSE,2021-09-23 06:00:00,25.0,-41.4,30
ROSE,2021-09-23 09:00:00,25.4849,-41.7025,27
ROSE,2021-09-23 12:00:00,26.0,-41.9,25
ROSE,2021-09-23 15:00:00,26.5149,-41.9878,25
ROSE,2021-09-23 18:00:00,27.0,-42.0,25
ROSE,2021-09-23 21:00:00,27.4375,-42.0299,25
ROSE,2021-09-24 00:00:00,27.8,-42.0,25
ROSE,2021-09-24 03:00:00,28.0751,-41.8777,25
ROSE,2021-09-24 06:00:00,28.3,-41.7,25
