NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
SAM,2021-09-22 18:00:00,10.0,-33.1,30
SAM,2021-09-22 21:00:00,10.1026,-33.7199,30
SAM,2021-09-23 00:00:00,10.2,-34.4,30
SAM,2021-09-23 03:00:00,10.2925,-35.1776,32
SAM,2021-09-23 06:00:00,10.4,-36.0,35
SAM,2021-09-23 09:00:00,10.5499,-36.8149,40
SAM,2021-09-23 12:00:00,10.7,-37.6,45
SAM,2021-09-23 15:00:00,10.8073,-38.3226,47
SAM,2021-09-23 18:00:00,10.9,-39.0,50
SAM,2021-09-23 21:00:00,10.9923,-39.6576,55
SAM,2021-09-24 00:00:00,11.1,-40.3,60
SAM,2021-09-24 03:00:00,11.2498,-40.9425,62
SAM,2021-09-24 06:00:00,11.4,-41.6,65
SAM,2021-09-24 09:00:00,11.4999,-42.3001,65
SAM,2021-09-24 12:00:00,11.6,-43.0,65
SAM,2021-09-24 15:00:00,11.7349,-43.6725,67
SAM,2021-09-24 18:00:00,11.9,-44.3,70
SAM,2021-09-24 21:00:00,12.0999,-44.88,77
SAM,2021-09-25 00:00:00,12.3,-45.4,85
SAM,2021-09-25 03:00:00,12.4648,-45.8651,90
SAM,2021-09-25 06:00:00,12.6,-46.3,95
SAM,2021-09-25 09:00:00,12.6999,-46.7501,100
SAM,2021-09-25 12:00:00,12.8,-47.2,105
SAM,2021-09-25 15:00:00,12.9425,-47.665,110
SAM,2021-09-25 18:00:00,13.1,-48.1,115
SAM,2021-09-25 21:00:00,13.2574,-48.4725,122
SAM,2021-09-26 00:00:00,13.4,-48.8,130
SAM,2021-09-26 03:00:00,13.5074,-49.1076,130
SAM,2021-09-26 06:00:00,13.6,-49.4,130
SAM,2021-09-26 09:00:00,13.6925,-49.7225,130
SAM,2021-09-26 12:00:00,13.8,-50.0,130
SAM,2021-09-26 15:00:00,13.9349,-50.1726,132
SAM,2021-09-26 18:00:00,14.1,-50.3,135
SAM,2021-09-26 21:00:00,14.285,-50.4351,132
SAM,2021-09-27 00:00:00,14.5,-50.6,130
SAM,2021-09-27 03:00:00,14.75,-50.8275,122
SAM,2021-09-27 06:00:00,15.0,-51.1,115
SAM,2021-09-27 09:00:00,15.2,-51.3926,110
SAM,2021-09-27 12:00:00,15.4,-51.7,105
SAM,2021-09-27 15:00:00,15.635,-52.0001,105
SAM,2021-09-27 18:00:00,15.9,-52.3,105
SAM,2021-09-27 21:00:00,16.2075,-52.6,105
SAM,2021-09-28 00:00:00,16.5,-52.9,105
SAM,2021-09-28 03:00:00,16.715,-53.2001,110
SAM,2021-09-28 06:00:00,16.9,-53.5,115
SAM,2021-09-28 09:00:00,17.1,-53.8001,115
SAM,2021-09-28 12:00:00,17.3,-54.1,115
SAM,2021-09-28 15:00:00,17.5,-54.4001,115
SAM,2021-09-28 18:00:00,17.7,-54.7,115
SAM,2021-09-28 21:00:00,17.8925,-55.0001,115
SAM,2021-09-29 00:00:00,18.1,-55.3,115
SAM,2021-09-29 03:00:00,18.3424,-55.5926,115
SAM,2021-09-29 06:00:00,18.6,-55.9,115
SAM,2021-09-29 09:00:00,18.8425,-56.2426,115
SAM,2021-09-29 12:00:00,19.1,-56.6,115
SAM,2021-09-29 15:00:00,19.3924,-56.9501,115
SAM,2021-09-29 18:00:00,19.7,-57.3,115
SAM,2021-09-29 21:00:00,19.9924,-57.6427,120
SAM,2021-09-30 00:00:00,20.3,-58.0,125
SAM,2021-09-30 03:00:00,20.62,-58.3928,125
SAM,2021-09-30 06:00:00,21.0,-58.8,125
SAM,2021-09-30 09:00:00,21.4774,-59.2001,125
SAM,2021-09-30 12:00:00,22.0,-59.6,125
SAM,2021-09-30 15:00:00,22.4775,-60.0153,125
SAM,2021-09-30 18:00:00,23.0,-60.4,125
SAM,2021-09-30 21:00:00,23.6124,-60.7154,125
SAM,2021-10-01 00:00:00,24.3,-61.0,125
SAM,2021-10-01 03:00:00,25.0276,-61.3224,127
SAM,2021-10-01 06:00:00,25.8,-61.6,130
SAM,2021-10-01 09:00:00,26.5774,-61.7951,130
SAM,2021-10-01 12:00:00,27.4,-61.9,130
SAM,2021-10-01 15:00:00,28.2999,-61.9523,130
SAM,2021-10-01 18:00:00,29.2,-61.9,130
SAM,2021-10-01 21:00:00,30.0375,-61.7378,127
SAM,2021-10-02 00:00:00,30.8,-61.5,125
SAM,2021-10-02 03:00:00,31.4722,-61.2865,122
SAM,2021-10-02 06:00:00,32.1,-61.0,120
SAM,2021-10-02 09:00:00,32.75,-60.5873,117
SAM,2021-10-02 12:00:00,33.4,-60.1,115
SAM,2021-10-02 15:00:00,34.0647,-59.6219,112
SAM,2021-10-02 18:00:00,34.7,-59.1,110
SAM,2021-10-02 21:00:00,35.2798,-58.5219,105
SAM,2021-10-03 00:00:00,35.8,-57.9,100
SAM,2021-10-03 03:00:00,36.2874,-57.2497,95
SAM,2021-10-03 06:00:00,36.7,-56.6,90
SAM,2021-10-03 09:00:00,37.0142,-56.0134,87
SAM,2021-10-03 12:00:00,37.3,-55.4,85
SAM,2021-10-03 15:00:00,37.6421,-54.6871,85
SAM,2021-10-03 18:00:00,38.0,-53.9,85
SAM,2021-10-03 21:00:00,38.3111,-53.107,87
SAM,2021-10-04 00:00:00,38.7,-52.2,90
SAM,2021-10-04 03:00:00,39.239,-51.1306,90
SAM,2021-10-04 06:00:00,39.9,-49.9,90
SAM,2021-10-04 09:00:00,40.5578,-48.5819,87
SAM,2021-10-04 12:00:00,41.4,-47.1,85
SAM,2021-10-04 15:00:00,42.5113,-45.3732,82
SAM,2021-10-04 18:00:00,43.8,-43.6,80
SAM,2021-10-04 21:00:00,45.1139,-41.8526,77
SAM,2021-10-05 00:00:00,46.5,-40.5,75
SAM,2021-10-05 03:00:00,47.9387,-39.8646,72
SAM,2021-10-05 06:00:00,49.4,-39.7,70
SAM,2021-10-05 09:00:00,51.1348,-39.396,67
SAM,2021-10-05 12:00:00,52.2,-39.6,65
SAM,2021-10-05 15:00:00,51.6681,-41.1176,65
SAM,2021-10-05 18:00:00,50.6,-42.1,65
SAM,2021-10-05 21:00:00,50.0886,-40.9224,62
SAM,2021-10-06 00:00:00,49.9,-38.9,60
SAM,2021-10-06 03:00:00,50.0719,-37.198,57
SAM,2021-10-06 06:00:00,50.5,-35.5,55
SAM,2021-10-06 09:00:00,50.9213,-33.9435,52
SAM,2021-10-06 12:00:00,51.5,-32.4,50
SAM,2021-10-06 15:00:00,52.2157,-30.7317,47
SAM,2021-10-06 18:00:00,53.1,-29.0,45
SAM,2021-10-06 21:00:00,54.0524,-27.1698,45
SAM,2021-10-07 00:00:00,55.2,-25.4,45
SAM,2021-10-07 03:00:00,56.5843,-23.8192,42
SAM,2021-10-07 06:00:00,58.1,-22.3,40
