NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
TERESA,2021-09-24 06:00:00,31.4,-62.0,30
TERESA,2021-09-24 09:00:00,32.1525,-62.4113,32
TERESA,2021-09-24 12:00:00,32.8,-62.9,35
TERESA,2021-09-24 15:00:00,33.2678,-63.5003,37
TERESA,2021-09-24 18:00:00,33.6,-64.1,40
TERESA,2021-09-24 21:00:00,33.8948,-64.6029,40
TERESA,2021-09-25 00:00:00,34.1,-65.0,40
TERESA,2021-09-25 03:00:00,34.2373,-65.3403,37
TERESA,2021-09-25 06:00:00,34.3,-65.5,35
TERESA,2021-09-25 09:00:00,34.3148,-65.4401,32
TERESA,2021-09-25 12:00:00,34.3,-65.2,30
TERESA,2021-09-25 15:00:00,34.2702,-64.8721,30
TERESA,2021-09-25 18:00:00,34.3,-64.5,30
TERESA,2021-09-25 21:00:00,34.4623,-64.2,30
TERESA,2021-09-26 00:00:00,34.7,-63.9,30
TERESA,2021-09-26 03:00:00,34.9494,-63.6096,30
TERESA,2021-09-26 06:00:00,35.2,-63.2,30
TERESA,2021-09-26 09:00:00,35.4139,-62.5683,27
TERESA,2021-09-26 12:00:00,35.6,-61.8,25
