NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
VICTOR,2021-09-29 00:00:00,7.0,-22.0,30
VICTOR,2021-09-29 03:00:00,7.19757,-22.4875,30
VICTOR,2021-09-29 06:00:00,7.4,-23.0,30
VICTOR,2021-09-29 09:00:00,7.60748,-23.55,30
VICTOR,2021-09-29 12:00:00,7.8,-24.1,30
VICTOR,2021-09-29 15:00:00,7.96494,-24.615,32
VICTOR,2021-09-29 18:00:00,8.1,-25.1,35
VICTOR,2021-09-29 21:00:00,8.19237,-25.5426,35
VICTOR,2021-09-30 00:00:00,8.3,-26.0,35
VICTOR,2021-09-30 03:00:00,8.47742,-26.5201,37
VICTOR,2021-09-30 06:00:00,8.7,-27.1,40
VICTOR,2021-09-30 09:00:00,8.93504,-27.75,40
VICTOR,2021-09-30 12:00:00,9.2,-28.4,40
VICTOR,2021-09-30 15:00:00,9.48484,-28.9651,42
VICTOR,2021-09-30 18:00:00,9.8,-29.5,45
VICTOR,2021-09-30 21:00:00,10.1574,-30.0425,47
VICTOR,2021-10-01 00:00:00,10.5,-30.6,50
VICTOR,2021-10-01 03:00:00,10.7724,-31.1926,50
VICTOR,2021-10-01 06:00:00,11.0,-31.8,50
VICTOR,2021-10-01 09:00:00,11.2075,-32.4226,52
VICTOR,2021-10-01 12:00:00,11.4,-33.0,55
VICTOR,2021-10-01 15:00:00,11.6073,-33.4651,55
VICTOR,2021-10-01 18:00:00,11.8,-33.9,55
VICTOR,2021-10-01 21:00:00,11.95,-34.4001,52
VICTOR,2021-10-02 00:00:00,12.1,-34.9,50
VICTOR,2021-10-02 03:00:00,12.3074,-35.3575,47
VICTOR,2021-10-02 06:00:00,12.5,-35.8,45
VICTOR,2021-10-02 09:00:00,12.5699,-36.2429,40
VICTOR,2021-10-02 12:00:00,12.7,-36.7,35
VICTOR,2021-10-02 15:00:00,13.0476,-37.2148,32
VICTOR,2021-10-02 18:00:00,13.5,-37.7,30
VICTOR,2021-10-02 21:00:00,13.9573,-38.0652,30
VICTOR,2021-10-03 00:00:00,14.4,-38.4,30
VICTOR,2021-10-03 03:00:00,14.7725,-38.7926,30
VICTOR,2021-10-03 06:00:00,15.1,-39.2,30
VICTOR,2021-10-03 09:00:00,15.3923,-39.5853,30
VICTOR,2021-10-03 12:00:00,15.7,-40.0,30
VICTOR,2021-10-03 15:00:00,16.0924,-40.4775,30
VICTOR,2021-10-03 18:00:00,16.5,-41.0,30
VICTOR,2021-10-03 21:00:00,16.865,-41.5501,30
VICTOR,2021-10-04 00:00:00,17.2,-42.1,30
VICTOR,2021-10-04 03:00:00,17.5077,-42.6122,27
VICTOR,2021-10-04 06:00:00,17.8,-43.1,25
