NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
WANDA,2021-10-25 18:00:00,32.5,-76.3,35
WANDA,2021-10-25 21:00:00,33.3526,-75.2773,40
WANDA,2021-10-26 00:00:00,34.2,-74.1,45
WANDA,2021-10-26 03:00:00,35.0438,-72.6996,45
WANDA,2021-10-26 06:00:00,35.9,-71.3,45
WANDA,2021-10-26 09:00:00,36.7921,-70.0575,47
WANDA,2021-10-26 12:00:00,37.7,-69.1,50
WANDA,2021-10-26 15:00:00,38.6357,-68.5268,52
WANDA,2021-10-26 18:00:00,39.5,-68.2,55
WANDA,2021-10-26 21:00:00,40.239,-67.6995,57
WANDA,2021-10-27 00:00:00,40.8,-67.6,60
WANDA,2021-10-27 03:00:00,41.3131,-68.3958,60
WANDA,2021-10-27 06:00:00,41.4,-69.4,60
WANDA,2021-10-27 09:00:00,40.7833,-70.0123,57
WANDA,2021-10-27 12:00:00,39.9,-70.1,55
WANDA,2021-10-27 15:00:00,39.1642,-69.5403,52
WANDA,2021-10-27 18:00:00,38.7,-68.5,50
WANDA,2021-10-27 21:00:00,38.7322,-67.2344,47
WANDA,2021-10-28 00:00:00,39.0,-65.9,45
WANDA,2021-10-28 03:00:00,39.1904,-64.8545,45
WANDA,2021-10-28 06:00:00,39.4,-63.9,45
WANDA,2021-10-28 09:00:00,39.5989,-62.9069,45
WANDA,2021-10-28 12:00:00,39.8,-61.9,45
WANDA,2021-10-28 15:00:00,40.0,-60.8272,45
WANDA,2021-10-28 18:00:00,40.2,-59.8,45
WANDA,2021-10-28 21:00:00,40.4217,-58.8903,45
WANDA,2021-10-29 00:00:00,40.6,-58.1,45
WANDA,2021-10-29 03:00:00,40.6866,-57.4195,45
WANDA,2021-10-29 06:00:00,40.7,-56.8,45
WANDA,2021-10-29 09:00:00,40.6719,-56.1649,45
WANDA,2021-10-29 12:00:00,40.6,-55.5,45
WANDA,2021-10-29 15:00:00,40.5146,-54.7727,45
WANDA,2021-10-29 18:00:00,40.4,-54.0,45
WANDA,2021-10-29 21:00:00,40.2877,-53.1782,45
WANDA,2021-10-30 00:00:00,40.1,-52.4,45
WANDA,2021-10-30 03:00:00,39.7936,-51.801,42
WANDA,2021-10-30 06:00:00,39.4,-51.2,40
WANDA,2021-10-30 09:00:00,38.9722,-50.4455,40
WANDA,2021-10-30 12:00:00,38.5,-49.6,40
WANDA,2021-10-30 15:00:00,38.0071,-48.7156,40
WANDA,2021-10-30 18:00:00,37.5,-47.8,40
WANDA,2021-10-30 21:00:00,36.9169,-46.8983,42
WANDA,2021-10-31 00:00:00,36.5,-46.0,45
WANDA,2021-10-31 03:00:00,36.4832,-45.0284,47
WANDA,2021-10-31 06:00:00,36.6,-44.2,50
WANDA,2021-10-31 09:00:00,36.5641,-43.6572,50
WANDA,2021-10-31 12:00:00,36.5,-43.4,50
WANDA,2021-10-31 15:00:00,36.4872,-43.3523,50
WANDA,2021-10-31 18:00:00,36.4,-43.5,50
WANDA,2021-10-31 21:00:00,36.1677,-43.7429,47
